posicao,Nome,preco,Aluguel sem casas,1 Casa,2 Casas,3 Casas,4 Casas,Hotel,Hipoteca,preco da Casa,Cor
2,Community Chest 1,,,,,,,,,,BRANCO
4,Income Tax,,,,,,,,,,BRANCO
5,Reading Railroad,200.0,,,,,,,100.0,,BRANCO
7,Chance 1,,,,,,,,,,BRANCO
10,Jail – Just Visiting,,,,,,,,,,BRANCO
12,Electric Company,150.0,,,,,,,75.0,,BRANCO
15,Pennsylvania Railroad,200.0,,,,,,,100.0,,BRANCO
17,Community Chest 2,,,,,,,,,,BRANCO
20,Free Parking,,,,,,,,,,BRANCO
22,Chance 2,,,,,,,,,,BRANCO
25,B & O Railroad,200.0,,,,,,,100.0,,BRANCO
28,Water Works,150.0,,,,,,,75.0,,BRANCO
30,Go to Jail,,,,,,,,,,BRANCO
33,Community Chest 3,,,,,,,,,,BRANCO
35,Short Line Railroad,200.0,,,,,,,100.0,,BRANCO
36,Chance 3,,,,,,,,,,BRANCO
38,Luxury Tax,,,,,,,,,,BRANCO
40,Go,,,,,,,,,,BRANCO
